번호,소재지전화,사업장명
1080,031-782-8300,의료법인성광의료재단일산차병원
1081,1833-8371,연세더바른병원
1082,062-675-1111,무등요양병원
1083,053-262-2626,경대재활요양병원
1084,031-655-5200,도솔한방병원
1085,052-221-2875,큰치과병원
1086,29879988,꿈의숲요양병원
1087,1522-4854,새힘병원
1088,062-616-7500,다선한방병원
1089,031-973-7775,고양센트럴요양병원
1090,031-312-4100,참잘함한방병원
1091,053-210-8000,행복한 병원
1092,031-738-7000,성남시의료원
1093,063-731-1075,수송한방병원
1094,464-7171,의료법인한빛의료재단행복한요양병원
1095,055-311-1678,의료법인경산의료재단 해광병원
1096,051-582-0100,단골병원
1097,041-852-0100,공주경희한방병원
1098,460-3300,의료법인의인의료재단차병원
1099,063-467-0001,키움병원
1100,063463-0001,군산베스트한방병원
1101,02-2601-7111,서울스마트요양병원
1102,031-937-8888,운정와이즈병원
1103,062-381-9000,정양한방병원
1104,063-859-1114,원광대학교병원
1105,063-839-5500,온누리아동병원
1106,063-721-1111,모현한방병원
1107,063-859-2977,원광대학교치과병원
1108,063-843-3582,재단법인 원불교 원병원
1109,063-840-2300,익산제일병원
1110,063-840-8001,연세요양병원
1111,063-841-0714,재단법인 천주교 전주교구 유지재단 익산성모병원
1112,063843-0119,우석노인요양병원
1113,841-1075,영등한방병원
1114,031-281-5551,용인S한방병원
1115,02-2246-7528,엘치과병원
1116,063-830-6000,실로암사랑요양병원
1117,053-559-7777,잘보는한방병원
1118,1811-7800,중앙대학교광명병원
1119,02-3492-0888,팔팔요양병원
1120,319431191,메디인병원
1121,032-937-0639,강화요양병원
1122,031-401-2468,진성한방병원
1123,053-423-3653,대구삼육오엠씨병원
1124,043-258-7000,리치한방병원
1125,031-759-7755,경희위례한방병원
1126,031-658-1075,지제도솔한방병원
1127,064-723-0955,제주하늘의료소비자생활협동조합하나요양병원
1128,031-941-7582,스타한방병원
1129,031-297-8875,나이스병원
1130,1544-5888,서울원병원
1131,1533-7585,모아한방병원
1132,054720-5000,의료법인경진의료재단 오천경희요양병원
1133,062-528-5000,구암병원
1134,032-832-5488,청담해리슨송도병원
1135,-6771,서온요양병원
1136,061691-1000,현송요양병원
1137,02-6231-7575,한마음한방병원
1138,-2838,더드림병원
1139,-4653,김포춘의생한방병원
1140,053-310-7114,의료법인 대구의료재단 케이병원
1141,031-902-4949,뷰티앤디지털치과병원
1142,032-715-5667,토탈케어한방병원
1143,062-261-9000,빛고을생생병원
1144,033-554-4715,도경요양병원
1145,033-572-1141,강원특별자치도삼척의료원
1146,033-574-9114,선한이웃병원
1147,033-335-7582,해오름자연요양병원
1148,033-336-0216,혜민요양병원
1149,033-262-5002,의료법인 연호요양병원
1150,033-435-0473,국군홍천병원
1151,033-430-5211,홍천아산병원
1152,02-1688-9165,국군강릉병원
1153,033-650-6113,의료법인 강릉동인병원
1154,033-645-1400,강릉연세요양병원
1155,033-642-1988,의산의료재단 강릉고려병원
1156,033-610-3114,강릉아산병원
1157,033-592-3121,정선군립병원
1158,033-560-7100,근로복지공단정선병원
1159,033-461-0088,인제고려병원
1160,033-580-3114,근로복지공단 태백병원
1161,033-372-0691,영월요양병원
1162,033-370-9101,강원특별자치도영월의료원
1163,051-711-8540,바로서면병원
1164,033-760-3101,의료법인성지의료재단성지병원
1165,033)248-7700,강원특별자치도재활병원
1166,033-258-2000,강원대학교병원
1167,033)253-5000,토마스요양병원
1168,033-747-6701,원주효요양병원
1169,033-732-0270,원주민중요양병원
1170,033-748-9999,21세기병원
1171,033-900-9977,현대요양병원
1172,033-740-8800,연세메디하임병원
1173,033-743-9801,원주우리병원
1174,033-732-6000,그랜드치과병원
1175,033-741-0114,연세대학교 원주세브란스기독병원
1176,1670-2020,원주연세병원
1177,033-747-2000,원주불로병원
1178,033263-8100,춘천태동요양병원
1179,033910-0993,365다담은한방병원
1180,033-762-0100,바른요양병원
1181,033743-5412,원주카톨릭병원
1182,033-765-5001,연세요양병원
1183,033813-9922,문막요양병원
1184,033734-7500,신원주한방병원
1185,033-749-9900,의료법인삼산의료재단 삼산병원
1186,033-765-7501,바른몸한방병원
1187,033-813-1111,연세명인병원
1188,337345844,강남한방병원
1189,033)253-3030,인성병원
1190,033-240-5000,한림대학교춘천성심병원
1191,033)263-8275,암스트롱요양병원
1192,033)251-9911,춘천호반요양병원
1193,033)240-7500,춘천시노인전문병원
1194,033)260-7200,춘천요양병원
1195,033-761-6911,강원특별자치도원주의료원
1196,033732-2111,상지대학교부속 한방병원
1197,033-747-1199,현대중앙병원
1198,033-733-9988,정병원
1199,033-741-5000,원주성모병원
1200,033-748-7800,신창의료재단 원주에이치병원
1201,033-746-4100,영광병원
1202,033-742-9371,센트럴병원
1203,033-480-8803,의료법인 성심의료재단 양구성심병원
1204,033-854-7114,의료법인 양구우리병원
1205,033-639-8500,의료법인보광의료재단속초보광병원
1206,033-630-6000,강원특별자치도속초의료원
1207,033-637-0757,속초정요양병원
1208,1877-7007,위덴치과병원
1209,033-638-0060,속초우리요양병원
1210,033533-7741,동해이레요양병원
1211,033531-2500,동해요양병원
1212,033-520-7200,동해금강요양병원
1213,033530-3100,근로복지공단 동해병원
1214,041-622-3311,프라미스요양병원
1215,053-631-0001,꽃담한방병원 월성점
1216,062-267-7500,새약손한방병원
1217,055-815-7777,의료법인테라의료재단 테라한방병원
1218,041-542-2879,365아홉가지약속치과병원
1219,032-888-7755,더나눔병원
1220,051-255-0200,더희망찬병원
1221,041-533-1000,레메디한방병원
1222,054272-7772,차차한방병원
1223,053-716-5600,경대돌담병원
1224,269565599,지축아이제일병원
1225,043283-8850,마음따뜻한방병원
1226,053-957-5000,수월한방병원
1227,053-242-7000,대구시티요양병원
1228,02-2644-3690,원탑병원
1229,031-356-8881,새솔한방병원
1230,061689-3000,여수가온병원
1231,061287-8566,서울한방병원
1232,02-3452-8889,우모한방병원
1233,042-721-0777,이김병원
1234,02-573-9573,엠에스병원
1235,02-6334-7575,광명가득한방병원
1236,031-546-0019,수원아이편한병원
1237,055-385-0365,한아름병원
1238,041-584-0916,새생명한방병원
1239,031-287-0119,한가온한방병원
1240,054-673-1331,봉화해성병원
1241,054-673-1331,봉화군립노인전문요양병원
1242,054-851-6131,의료법인안동유리의료재단 안동유리한방병원
1243,054-843-7887,성심병원
1244,054-823-6200,빛으로병원
1245,054-821-0211,경북의료재단 길주요양병원
1246,054-857-9500,의료법인안흥의료재단 새안동요양병원
1247,054-857-2321,안동성소병원
1248,054-850-6000,경상북도안동의료원
1249,054-840-1004,의료법인안동병원
1250,054-851-1214,경상북도립안동노인전문요양병원
1251,054-858-8410,경북재활병원
1252,054-821-7282,의료법인송인의료재단대성그린병원
1253,054-821-1101,의료법인안동의료재단용상안동병원
1254,054-841-7500,아주안제요양병원
1255,054-851-8200,안동요양병원
1256,054-842-2100,라온치과병원
1257,052-252-8200,씨케이치과병원
1258,052-232-0100,상록수요양병원
1259,052-911-9988,방어진마린요양병원
1260,052-264-9225,사회복지법인 동향원 부설 반구대병원
1261,052-241-3114,동강한방병원
1262,052-706-1111,울들병원
1263,052-261-5033,성모요양병원
1264,052-226-0100,국민요양병원
1265,052-270-2800,로이스씨케이치과병원
1266,052-950-7500,의료법인 청산의료재단 효원요양병원
1267,052-276-9789,새생명요양병원
1268,052-708-1111,하나이비인후과병원
1269,052-290-2100,울산엘리야병원
1270,052-282-7171,울산아동병원
1271,052-282-7002,의료법인 옐림의료재단 농소요양병원
1272,052-280-9000,의료법인 송은의료재단 울산시티병원
1273,052-286-3355,의료법인 기쁨의료재단 엠디한방병원
1274,052-290-2000,세나요양병원
1275,052-280-8000,의료법인 송은의료재단 울산시티2병원
1276,052-716-1020,BB요양병원
1277,052-295-2888,정안요양병원
1278,052-250-7000,학교법인 울산공업학원 울산대학교병원
1279,052-273-7114,임요양병원
1280,052-701-3005,울산자생한방병원
1281,522603525,강남요양병원
1282,052-707-2875,한빛치과병원
1283,052-261-5567,따사랑요양병원
1284,052-263-5111,울산기독병원
1285,052-239-0669,고려요양병원
1286,052-268-7007,좋은요양병원
1287,052-922-1100,서울아동병원
1288,1544-7544,참바른병원
1289,052-266-5400,구인의료재단법인 오복요양병원
1290,052-277-3001,삼호요양병원
1291,052-996-0030,의)우아의료재단 달동길메리요양병원
1292,052-226-7114,의)정우의료재단 더프라우병원
1293,052-259-5000,울산병원
1294,052-278-0114,(의)인석의료재단 보람병원
1295,052-259-9000,굿모닝병원
1296,052-220-0100,울산미즈병원
1297,052-267-0075,에이치엠병원
1298,052-241-3114,의료법인동원의료재단강남동강병원
1299,052-220-7500,의료법인 은성의료재단 좋은삼정병원
1300,052-915-8000,위드여성병원
1301,052-220-3300,(의) 내경의료재단 울산제일병원
1302,052-231-7900,울산광역시립노인병원
1303,055-780-1000,이손요양병원
1304,052-262-3229,평화요양병원
1305,052-257-6565,중앙학문병원
1306,052-269-0975,항사랑병원
1307,052-270-7000,(의)고담의료재단마더스병원
1308,052-223-8866,의료법인 세연의료재단 무거연세요양병원
1309,052-226-1100,의료법인 정안의료재단 중앙병원
1310,225-0834,큰빛웅촌병원
1311,052-264-6100,언양아하브요양병원
1312,052-255-7114,서울산보람병원
1313,055-381-8275,세광병원
1314,052-211-8448,햇살아동병원
1315,052-255-8400,자재병원
1316,052-211-9393,범서사랑요양병원
1317,052-246-0002,(의)성덕의료재단 간절곶자연병원
1318,052-263-0070,의료법인 명원의료재단 파인힐병원
1319,052-716-1365,우리병원
1320,052-248-8900,의료법인 건강한의료재단 울산연세요양병원
1321,052-272-2505,큰빛병원
1322,052-262-5200,언양요양병원
1323,032-363-9800,한국보훈복지의료공단 인천보훈병원
1324,032-726-1000,(의)성세의료재단 뉴성민병원
1325,032-584-0114,의료법인 루가의료재단 나은병원
1326,562-5101,인천광역시립노인치매요양병원
1327,032-571-9111,인천참사랑병원
1328,032-590-0114,검단탑병원
1329,562-5101,인천은혜요양병원
1330,562-5101,은혜병원
1331,561-3457,인천연세병원
1332,516-5000,노송병원
1333,567-6200,온누리병원
1334,032-569-8088,검단스마일한방병원
1335,1600-8291,가톨릭관동대학교국제성모병원
1336,032-324-8255,청담요양병원
1337,032-577-8275,청라국제병원
1338,032-569-7175,나무요양병원
1339,032-279-3000,청라S한방병원
1340,032-505-6114,정인의료소비자협동조합 검단연세요양병원
1341,563-1175,블레스병원
1342,032-524-8800,감인의료재단 청라백세요양병원
1343,032-716-6000,청라여성병원
1344,032-569-5858,명장한방병원
1345,032-1577-9782,착한마디병원
1346,032-564-3500,조은내일치과병원
1347,032-590-1500,청라연세어린이병원
1348,930-8146,의료법인해인의료재단 강화병원
1349,932-9640-1,강화희망요양병원
1350,032-933-7114,해주병원
1351,032-461-7577,효민요양병원
1352,1522-9988,서울바른척도병원
1353,426-7575,라이온요양병원
1354,868-9988,이편안인천요양병원
1355,032-461-2300,올림피아병원
1356,1522-3266,대찬병원
1357,032-280-6364,가톨릭대학교 인천성모병원
1358,032-503-3322,의료법인한길의료재단한길안과병원
1359,032-836-1731,인천광역시의료원백령병원
1360,032-832-9900,송도효자병원
1361,032-899-4000,인천적십자병원
1362,032-899-9999,의료법인 나사렛의료재단 나사렛국제병원
1363,032-899-4591,경인권역재활병원
1364,032-833-0040,행복한방병원
1365,032-858-2080,22세기서울치과병원
1366,431-2555,새희망병원
1367,032-821-0033,나래병원
1368,032-777-1122,서울시카고치과병원
1369,032-870-5000,고은여성병원
1370,032-270-3000,신주안요양병원
1371,032-874-2727,알엠병원
1372,032-247-2000,의료법인 아인의료재단 아인병원
1373,324649101,봄날요양병원
1374,032-430-6200,미추홀병원
1375,456-7600,브래덤재활병원
1376,460-3548,의료법인 길의료재단 길병원
1377,"467-6666,464-6181",전병원
1378,-7975,인천더하다한방병원
1379,442-2020,의료법인 정진의료재단 영화병원
1380,032-438-5800,의료법인 정강의료재단 위드미요양병원
1381,1588-0255,모두병원
1382,032-427-7575,동아치과병원
1383,032-874-7500,(의)광혜원한방병원
1384,032-425-2001,인천사랑병원
1385,032-212-2001,가온요양병원
1386,230-1003,인천자생한방병원
1387,324694394,서울이룸병원
1388,431-7979,뿌리요양병원
1389,426-1800,예인병원
1390,431-8585,더행복요양병원
1391,700-0119,큰마디큰병원
1392,032-509-5555,안은의료재단 부평세림병원
1393,032-528-6030,구올담치과병원
1394,032-508-6677,시카고치과병원
1395,032-262-9000,글로리병원
1396,032-525-7080,인천바오로병원
1397,1688-9797,의료법인나누리의료재단나누리병원
1398,032-505-5114,부평세연요양병원
1399,032-521-7200,새봄여성병원
1400,032-721-9716,나누리병원
1401,032-715-5886,오름요양병원
1402,032-421-0503,인천사랑요양병원
1403,032-865-0033,도화요양병원
1404,032-862-5544,지성병원
1405,032-421-0075,성모윌병원
1406,032-223-7000,신한대바울요양병원
1407,032-863-0051,인일요양병원
1408,032-873-0010,미추홀숲요양병원
1409,032-215-7575,금강요양병원
1410,032-547-7110,원병원
1411,032-427-2800,새건병원
1412,032-212-7676,치유한방병원
1413,032-465-1001,아레나한방병원
1414,032-451-0000,W(더블유)여성병원
1415,032-715-5300,인천우리병원
1416,032-888-7575,현대유비스병원
1417,032-432-7585,원광의료재단 인천원광효도요양병원
1418,032-887-1079,경희백한방병원
1419,053-750-5107,국군대구병원
1420,032-511-1001,찬누리한방병원
1421,032-363-9121,의)상원의료재단부평힘찬병원
1422,,나다의료재단 소망병원
1423,032-523-1075,다나은한방병원
1424,032-501-7582,미르한방병원
1425,032-504-0109,백운요양병원
1426,032-502-2279,라이브치과병원
1427,061763-1500,의료법인백운의료재단 칠성요양병원
1428,061-850-3410,보성아산병원
1429,906-8000,순천우리병원
1430,061-720-8070,미즈여성아동병원
1431,746-1199,새순천한방병원
1432,749-9000,의료법인 진촌의료재단 순천만요양병원
1433,740-4000,순천센텀병원
1434,061-859-9000,보성군립요양병원
1435,061-857-8000,제석의료재단보광요양병원
1436,061-857-8800,보성요양병원
1437,061-853-7700,보성제일병원
1438,061-743-9021,순천중앙병원
1439,720-1105,의료법인내일의료재단 현대여성아동병원
1440,061-759-9114,전라남도순천의료원
1441,061-724-7777,오병원
1442,061-720-2000,성가롤로병원
1443,061-740-5000,의료법인한국의료재단한국병원
1444,740-8800,순천하나병원
1445,061-720-1000,의료법인숭덕의료재단순천효사랑요양병원
1446,729-3300,메디팜요양병원
1447,061-720-3413,순천제일병원
1448,061-746-3000,순천평화병원
1449,754-8575,순천은병원
1450,061-720-7575,근로복지공단 순천병원
1451,061797-7000,광양사랑병원
1452,061-818-7575,강남병원
1453,061-797-8200,광양시공립노인전문요양병원
1454,061-798-9800,의료법인 현경의료재단 광양서울병원
1455,061-818-8855,광양한방병원
1456,061-280-8800,미르치과병원
1457,061-283-5400,의료법인 새한의료재단 목포성심요양병원
1458,061-800-5500,효성요양병원
1459,061-282-7365,365매일한방병원
1460,061-535-3301,의료법인신안대우병원
1461,061-930-5000,백양요양병원
1462,061-390-9000,의료법인행복나눔의료재단 장성병원
1463,061-287-7585,약수한방병원
1464,061-360-6000,곡성사랑병원
1465,061-360-9000,곡성군립노인전문병원
1466,061-246-0555,신안군공립요양병원
1467,061840-0512,국립소록도병원
1468,061-832-1911,의료법인영성의료재단고흥종합병원
1469,061-287-8000,제일내과병원
1470,061-260-8000,목포미즈아이병원
1471,061-280-6800,목포재활요양병원
1472,061-260-6700,의료법인해민의료재단 세안종합병원
1473,061-800-1000,목포미래병원
1474,061-801-8000,목포아동병원
1475,061-284-7528,예닮치과병원
1476,061-727-7500,플러스아이미코병원
1477,061-746-7800,제일한방병원
1478,804-5000,힘플러스병원
1479,061-746-2400,청연우리병원
1480,061-745-7575,아나파한방병원
1481,061-721-0021,의료법인태령의료재단사랑한방병원
1482,061-740-6600,선암요양병원
1483,061-725-8400,연세광혜병원
1484,061-745-9977,우리들한방병원
1485,061-745-0500,척병원
1486,061-811-2222,순천희망병원
1487,061-759-3300,순천생협요양병원
1488,617462300,순천정원요양병원
1489,061-553-1234,완도대성병원
1490,061-399-3000,장성혜원병원
1491,395-1170,장성공립노인전문요양병원
1492,061272-7588,목포현대병원
1493,061-242-5621,목포노동병원
1494,061260-6500,목포시의료원
1495,061-280-1114,국립목포병원
1496,061-862-8300,의료법인 우범의료재단 장흥종합병원
1497,061-862-6262,장흥우리병원
1498,061860-7777,장흥통합의료병원
1499,061-544-2051,진도한국병원
1500,061-330-1700,의료법인세화의료재단나주효사랑병원
1501,061-330-1700,의료법인세화의료재단나주효사랑요양병원
1502,061-331-9900,밝은마음병원
1503,061-339-9000,노블요양병원
1504,061-330-8000,다정한병원
1505,061-332-3500,즐거운요양병원
1506,061-930-0003,한마음요양병원
1507,061)339-9900,의료법인 식산의료재단 나사렛요양병원
1508,061-276-3355,의료법인 항운의료재단 목포요양병원
1509,245-0575,목포예향병원
1510,061-245-3377,동명한방병원
1511,061-450-3000,대송의료재단무안병원
1512,061-453-7007,공립무안군노인전문요양병원
1513,061-288-8000,남악아동병원
1514,061-277-5252,신우치과병원
1515,061262-7585,남악한방병원
1516,061-453-4300,의료법인숭민의료재단 해오름요양병원
1517,061-261-0075,한국한방병원
1518,061-270-5500,목포한국병원
1519,061-280-7500,목포기독병원
1520,061-242-0505,의료법인 세양의료재단 신안병원
1521,061-283-8004,목포원광한방병원
1522,061-280-3000,의료법인목포구암의료재단 목포중앙병원
1523,"061-280-5500,5557",목포한사랑병원
1524,061-280-7700,동신대학교부속 목포한방병원
1525,061-284-0975,목포장문외과병원
1526,061-370-3000,보은병원
1527,061-370-0700,화순무지개요양병원
1528,061-379-6114,화순군립요양병원
1529,373-0500,백재활요양병원
1530,061-245-7777,의료법인우성의료재단 목포실로암요양병원
1531,061-330-4152,국립나주병원
1532,061-330-6114,나주종합병원
1533,061780-3300,구례병원
1534,061782-7575,의료법인숭덕의료재단 단반트리지리산요양병원
1535,061783-1200,의료법인행림의료재단 새미소요양병원
1536,061640-8888,사회복지법인 여수애양병원
1537,061-640-7575,여수전남병원
1538,061-370-9114,화순성심병원
1539,061-371-6666,은산한방병원
1540,061653-2000,여수한국병원
1541,061-380-7000,창평우리병원
1542,061-381-7582,담양참사랑병원
1543,061-380-9000,담양사랑병원
1544,061-380-8000,무등산생태요양병원
1545,061-380-7200,창평한마음요양병원
1546,061-381-8075,아름다운 명문한방병원
1547,061-390-5905,국군함평병원
1548,061-390-5905,국군함평치과병원
1549,061-322-4119,함평군공립요양병원
1550,061688-9800,은혜요양병원
1551,662-1000,씨에스나무병원
1552,061689-8123,의료법인한마음의료재단 여수제일병원
1553,061-690-0500,재단법인여수요양병원
1554,061690-6000,여천전남병원
1555,061650-5000,의료법인 미나의료재단 여수문화병원
1556,061-900-1100,전남제일요양병원
1557,061-655-0030,의료법인 주영의료재단 동인요양병원
1558,061-810-1004,여수강남요양병원
1559,061-375-8400,화순베스트요양병원
1560,373-8600,화순케어랜드요양병원
1561,061-666-1000,그랜드치과병원
1562,061-921-9000,여천한방병원
1563,061530-3000,해남한국병원
1564,061530-7000,해남우리종합병원
1565,061532-3751,의료법인소망의료재단 가나안요양병원
1566,534-8872,의료법인연희의료재단해남혜민병원
1567,061-372-8900,화순중앙병원
1568,061-370-3700,화순고려병원
1569,061-379-7120,화순전남대학교병원
1570,061-370-7000,의료법인 무진의료재단 화순현대요양병원
1571,471-6888,영암효요양병원
1572,061-460-9112,삼호제일병원
1573,061-350-7500,영광군공립요양병원
1574,061-655-3000,여수백병원
1575,061-653-9119,여수시립요양병원
1576,064-730-1421,WE병원
1577,064-762-8001,서귀포열린병원
1578,031-416-2005,세화한방병원
1579,064-729-5000,토마토요양병원
1580,064-711-2210,제주제일요양병원
1581,064-728-0000,그랜드치과병원
1582,064-720-2222,제주의료원부속요양병원
1583,064-729-6000,아라요양병원
1584,064-722-0054,제주선한병원
1585,042-544-0025,더젠병원
1586,064-720-2222,제주특별자치도제주의료원
1587,064-726-7900,의료법인 연강의료재단 연강병원
1588,064-754-1023,탑동병원
1589,064-752-0022,늘봄재활요양병원
1590,064-747-1410,사회복지법인인효원제주복지요양병원
1591,064-750-0000,의료법인 혜인의료재단 한국병원
1592,064740-5000,제주한라병원
1593,064717-1114,제주대학교병원
1594,063852-0100,하나한방병원
1595,063-850-9900,의료법인 원광의료재단 익산원광효도요양병원
1596,063-450-0700,의료법인 원광의료재단 군산원광효도요양병원
1597,063-452-1075,노블한방병원
1598,063-453-8275,의료법인 유진의료재단 동서병원
1599,063-472-8300,의료법인성곡의료재단군산효자요양병원
1600,063-730-1000,참사랑요양병원
1601,062-416-2020,광주요양병원
1602,063-468-0371,군산제일요양병원
1603,063-440-0570,의료법인오성의료재단동군산병원
1604,063-441-3300,의료법인 평화의료재단 군산성신병원
1605,063-911-0020,새희망요양병원
1606,063472-5000,전북특별자치도 군산의료원
1607,02-1644-8511,치유본한방병원
1608,063)854-7000,의료법인 태종의료재단 익산미소요양병원
1609,063-460-3452,의료법인구암의료재단군산요양병원
1610,063-852-1075,제일한방병원
1611,063852-7582,수사랑병원
1612,063-856-5522,동산병원
1613,450-0900,의료법인성하의료재단누가병원
1614,063-723-2500,수요양병원
1615,063-460-9004,의료법인 모세의료재단 모세병원
1616,063-859-2849,원광대학교 한방병원
1617,063-860-0114,엔젤의료재단 엔젤요양병원
1618,063-460-3000,의료법인 관주의료재단 정다운병원
1619,063-859-7708,나은병원
1620,031-333-0051,용인이안한방병원
1621,063-840-9114,의료법인대산의료재단익산병원
1622,063-837-0010,마디한방병원
1623,051-711-0365,건강만세365병원
1624,063-540-8899,미래요양병원
1625,063-540-5114,김제우석병원
1626,063-540-1500,(의)백상의료재단 가족사랑요양병원
1627,063-770-8275,김제병원
1628,063-545-0090,미래병원
1629,031-322-2875,마음심는치과병원
1630,1577-3653,글로벌365mc병원
1631,02-333-3300,메디람한방병원
1632,063-545-8700,신세계병원
1633,063-548-7575,세미한병원
1634,063543-5119,믿음병원
1635,063-547-5000,효드림요양병원
1636,070-4035-8712,의료법인지석의료재단신세계효병원
1637,063-545-5511,(의)혜민의료재단 우리한방병원
1638,540-8855,희망병원
1639,053-643-1400,나사렛종합병원
1640,051-996-0015,경희정도한방병원
1641,063-224-9200,은빛사랑요양병원
1642,063-249-3300,사회복지법인 성바오로애덕원 성바오로복지병원
1643,063-260-1300,의료법인완주의료재단한마음화산병원
1644,063-261-7080,실로암병원
1645,063-711-2300,키즈드림아이엠씨병원
1646,063260-8300,완주요양병원
1647,063-717-3300,완주군아름다운노인전문병원
1648,063-260-9980,의료법인한길사랑의료재단한길병원
1649,1661-7300,인본병원
1650,063-290-0119,의료법인 일암의료재단 고려병원
1651,041-358-9988,9988병원
1652,044-270-0114,트리니움여성병원
1653,062-529-7000,명가한방병원
1654,051-201-8787,파크병원
1655,041-537-0000,연세나무병원
1656,031-701-3000,분당나로한방병원
1657,031-8099-9114,시흥서울대효요양병원
1658,032-577-9777,천진요양병원
1659,062-466-7000,더나은병원
1660,055-582-8088,의료법인 학산의료재단 아라한국병원
1661,031-981-0020,김포봄한방병원
1662,063-560-6100,전북특별차지도 고창노인요양병원
1663,063-560-1000,석정웰파크병원
1664,063-560-5600,의료법인석천재단고창병원
1665,063-561-0841,의료법인성노복지의료재단효자요양병원
1666,063-561-6550,의료법인정익재단 메디케어요양병원
1667,063-561-3355,유정요양병원
1668,063-774-7500,석정웰파크요양병원
1669,032-271-0119,청라좋은병원
1670,02-719-7373,세솟는정형외과병원
1671,02-6352-0700,이우요양병원
1672,031-300-6200,경기도립정신병원
1673,02-3663-6786,더서밋요양병원
1674,031-992-7271,김포보배한방병원
1675,031-658-7800,평택삼성요양병원
1676,02-986-0334,강북으뜸병원
1677,031-365-5875,약산애한방병원
1678,062-671-1075,도영한방병원
1679,031-935-4788,브이아이씨365병원
1680,031-582-8858,강변요양병원
1681,062-456-6600,중앙병원
1682,061-989-9000,부부요양병원
1683,055-942-7575,중앙메디컬병원
1684,055-337-5000,의료법인에스씨의료재단 파크힐요양병원
1685,051-710-3181,에덴어린이병원
1686,031-213-1151,이안한방병원
1687,1544-1180,신세계서울병원
1688,031-223-9975,더퍼스트요양병원
1689,053-813-8900,의료법인양지의료재단 양지기쁨병원
1690,054-451-8888,의료법인소랑의료재단 구미제일요양병원
1691,031-281-7071,용인연세병원
1692,031-522-5292,누네안과병원
1693,031-510-0114,진접 한양병원
1694,062-467-1100,슬기로운재활의학과병원
1695,053-961-5959,웰키즈아동병원
1696,031-613-3700,남양한방병원
1697,02-2691-9114,서울제일요양병원
1698,032-713-5300,의료법인 정강의료재단 검단수한방병원
1699,062-607-1900,첨단요양병원
1700,-2608,찬솔한방병원
1701,062-653-2684,아미힐요양병원
1702,031-979-1000,다병원
1703,042-330-2185,대전세종충남·넥슨후원 공공어린이재활병원
1704,062-225-0200,새희망병원
1705,062-522-6606,메이저병원
1706,02-6401-9988,바로요양병원
1707,031-948-2828,더연세퍼스트치과병원
1708,031-939-0070,연세오상병원
1709,032-713-3300,검단위키즈 병원
1710,02-1600-8205,서울필병원
1711,031-846-1777,햇살가득요양병원
1712,031-663-7588,의료법인 제노플랜의료재단 나우누리요양병원
1713,055 714 1111,더앞선치과병원
1714,055 270 8802,바른병원
1715,032-932-7000,해오름 한방병원
1716,054-555-7500,문경점촌요양병원
1717,055-603-4000,자연안에 한방병원
1718,052-260-5577,의료법인 월촌의료재단 해솔요양병원
1719,031-375-5812,케이한방병원
1720,055-752-0000,선운한방병원
1721,031-317-0111,일어나병원
1722,031-409-4100,안산 마루병원
1723,031-505-0123,웰손병원
1724,032-719-7538,주안퍼스트병원
1725,051-710-0036,신세계한방병원
1726,051-314-2807,사상연세비앤이치과병원
1727,041-911-8588,프라이드병원
1728,02-1588-2915,신촌면력한방병원
1729,02-1899-3210,서울안강병원
1730,02-2601-2611,라온휴한방병원
1731,1660-2811,365드림치과병원
1732,-4421,예온치과병원
1733,055-757-1205,진주 수 병원
1734,031-8057-3075,안성제일한방병원
1735,061802-1111,목포스마트원치과병원
1736,031-761-3651,365매일한방병원
1737,031-8048-9910,우주한방병원
1738,031-8034-5003,남양주 동선병원
1739,041-351-5000,감인의료재단 아인요양병원
1740,062-682-6000,대웅당한방병원
1741,062-600-2800,미르치과병원
1742,062-364-9000,밝은안과21병원
1743,062-383-8275,규림한방병원
1744,062-367-8889,상무스타치과병원
1745,062-384-0500,예인원치과병원
1746,062-651-3636,코끼리휴병원
1747,062-367-0000,햇살요양병원
1748,062-466-1000,선한병원
1749,062-611-8000,베스트한방병원
1750,062-714-2700,원힐링병원
1751,062-520-9000,대한요양병원
1752,062-710-5000,서울휴병원
1753,062-670-7000,우리아동병원
1754,062-380-3800,(의료법인)다사랑병원
1755,062-603-8000,광주새우리병원
1756,062-600-1122,소망하나로병원
1757,062-373-7700,씨티한방병원
1758,062-650-5000,광주기독병원
1759,062-670-6700,원광대학교광주한방병원
1760,650-2500,동아병원
1761,062-600-2500,미래아동병원
1762,062-460-7000,광주씨티병원
1763,062-676-6700,광주제일병원
1764,062-720-1100,효인재활요양병원
1765,062-670-3900,남구THE선요양병원
1766,062-604-5030,씨티재활의학과요양병원
1767,062-380-5800,보라안과병원
1768,062-414-1000,아이퍼스트아동병원
1769,062-380-2000,미즈피아병원
1770,062-600-8000,서광병원
1771,"062-600-7000, 7007",상무병원
1772,062-670-3800,효다움요양병원
1773,062-612-8000,서광요양병원
1774,062-366-2000,해솔한방병원
1775,062-368-1700,시엘병원
1776,"062-610-6000, 6014",우리들병원
1777,062-380-3000,광주한국병원
1778,"682-2875,682-8575",명인치과병원
1779,062-712-2300,백세요양병원
1780,062-457-6000,경희수한방병원
1781,062-365-1000,상무힐링요양병원
1782,062-510-6000,광주동림병원
1783,062-681-0500,백운요양병원
1784,062-651-2500,예사랑아동병원
1785,042-220-8000,의료법인영훈의료재단 대전선병원
